position	pedb_channel	mpcb_ip_address
0	NULL	10.0.1.6
1001	0	172.17.1.182
1111	1	172.17.1.110
1112	4	172.17.1.113
1113	7	172.17.1.116
1114	10	172.17.1.119
1121	2	172.17.1.111
1122	3	172.17.1.112
1123	5	172.17.1.114
1124	6	172.17.1.115
1125	8	172.17.1.117
1126	9	172.17.1.118
1127	11	172.17.1.120
1128	12	172.17.1.121
1211	37	172.17.1.122
1212	40	172.17.1.125
1213	43	172.17.1.128
1214	46	172.17.1.131
1221	38	172.17.1.123
1222	39	172.17.1.124
1223	41	172.17.1.126
1224	42	172.17.1.127
1225	44	172.17.1.129
1226	45	172.17.1.130
1227	47	172.17.1.132
1228	48	172.17.1.133
1311	25	172.17.1.134
1312	28	172.17.1.137
1313	31	172.17.1.140
1314	34	172.17.1.143
1321	26	172.17.1.135
1322	27	172.17.1.136
1323	29	172.17.1.138
1324	30	172.17.1.139
1325	32	172.17.1.141
1326	33	172.17.1.142
1327	32	172.17.1.144
1328	33	172.17.1.145
1411	13	172.17.1.146
1412	16	172.17.1.149
1413	19	172.17.1.152
1414	22	172.17.1.155
1421	14	172.17.1.147
1422	15	172.17.1.148
1423	17	172.17.1.150
1424	18	172.17.1.151
1425	20	172.17.1.153
1426	21	172.17.1.154
1427	23	172.17.1.156
1428	24	172.17.1.157
2001	0	172.17.1.188
2111	1	172.17.1.158
2112	4	172.17.1.161
2121	2	172.17.1.159
2122	3	172.17.1.160
2123	5	172.17.1.162
2124	6	172.17.1.163
2211	7	172.17.1.164
2212	10	172.17.1.167
2221	8	172.17.1.165
2222	9	172.17.1.166
2223	11	172.17.1.168
2224	12	172.17.1.169
2311	13	172.17.1.170
2312	16	172.17.1.173
2321	14	172.17.1.171
2322	15	172.17.1.172
2323	17	172.17.1.174
2324	18	172.17.1.175
2411	19	172.17.1.176
2412	22	172.17.1.179
2421	20	172.17.1.177
2422	21	172.17.1.178
2423	23	172.17.1.180
2424	24	172.17.1.181
